code,name,numero_muestras,positive,negative,longitude,latitude
23807,TIERRALTA,416,51,365,-76.0596965689,8.17037997285
23855,VALENCIA,1324,28,1296,-76.150720786,8.25501643828
25001,AGUA DE DIOS,130,8,122,-74.6692192503,4.37531467846
25035,ANAPOIMA,181,0,181,-74.5285181395,4.562955419
25040,ANOLAIMA,48,0,48,-74.4638356057,4.76169908987
25154,CARMEN DE CARUPA,5,0,5,-73.901570514,5.34911594802
25200,COGUA,1550,94,1456,-73.9784922543,5.06184103042
25214,COTA,811,44,773,-74.1027271672,4.81298461
25260,EL ROSAL,1556,27,1311,-74.2630068618,4.85053609442
25286,FUNZA,410,24,334,-74.2014894559,4.71038172914
25307,GIRARDOT,13,0,13,-74.7977961492,4.31307939531
25312,GRANADA,125,2,123,-74.3507638172,4.51976536572
25320,GUADUAS,713,5,708,-74.6029553866,5.07187008998
25322,GUASCA,1447,52,1304,-73.8771423949,4.86671913331
25326,GUATAVITA,1827,99,1631,-73.8329037894,4.93513630968
25377,LA CALERA,37,4,33,-73.967966495,4.72138578652
25377,LA CALERA,764,34,727,-73.967966495,4.72138578652
25386,LA MESA,85,7,78,-74.4615492187,4.63104312817
25402,LA VEGA,115,1,114,-74.331153833,4.993079959
25407,LENGUAZAQUE,507,11,496,-73.7114939184,5.30614737724
25430,MADRID,21,18,3,-74.2637266314,4.73273240481
25430,MADRID,1164,18,788,-74.2637266314,4.73273240481
25473,MOSQUERA,20,1,19,-74.2193416046,4.70701024824
25488,NILO,11,0,11,-74.6199683585,4.30580601104
25491,NOCAIMA,5,0,5,-74.3791125286,5.06946324832
25513,PACHO,218,23,195,-74.156116064,5.13694532224
25530,PARATEBUENO,51,2,49,-73.2128246502,4.37483210325
25535,PASCA,76,0,15,-74.3024837134,4.30905937901
25572,PUERTO SALGAR,7,0,7,-74.6537031753,5.46542650967
25572,PUERTO SALGAR,25,4,21,-74.6537031753,5.46542650967
25612,RICAURTE,410,29,381,-74.7728657999,4.28211362022
25645,SAN ANTONIO DEL TEQUENDAMA,72,4,68,-74.3514505895,4.61613464307
25653,SAN CAYETANO,14,2,12,-74.0247543795,5.33293676886
25658,SAN FRANCISCO,441,18,332,-74.2896710065,4.97291953172
25718,SASAIMA,81,3,78,-74.4326283935,4.96216463559
